"Отметка времени","Мальчик или девочка?","Как часто тебя били в детстве?","Оцените ваш уровень вегетарианца по 5-ти бальной шкале","Что такое два.ч?","Твоя ориентация?","Погулять вечером после тяжкого рабочего дня, или посычевать дома?","Как часто играешь в игры?","Сериалы?","А книги? ","Вы таки антисемит? ","Какой предмет ближе всего по душе?","Как вы относитесь к аннексии Крыма?","Владимир Путин - ","Как хорошо вы знаете английский?","Было ли раньше лучше? ","А какие жанры фильмов любишь? "
"2019/06/10 9:01:31 AM GMT+5","Мальчик","Не били","2","Ненавижу Абу","Гетеро","Сычевать","5","2","1","Нет","Информатика","Мне всё равно","хуйло","Отлично","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фантастика"
"2019/06/10 9:17:26 AM GMT+5","Мальчик","Разве что по делу","0","Не знаю","Гетеро","Гулять","4","4","7","Нет","Информатика","Положительно","Политик, лидер и боец","Нормально","Нет","Боевик;Аниме;Исторический фильм;Фантастика"
"2019/06/10 9:27:24 AM GMT+5","Девочка","Разве что по делу","3","Паблик в вк","Гетеро","Гулять","0","1","5","Нет","Литература","Мне всё равно","Политик, лидер и боец","Хорошо","Нет","Аниме;Комедия;Исторический фильм;Фантастика"
"2019/06/10 9:30:39 AM GMT+5","Девочка","Не били","2","Лучшая борда рунета","Би","Сычевать","2","5","5","Нет","Литература","Мне всё равно","впервые слышу что за чел","Оригатоё гайзаймас","Нет","Аниме;Драма;Комедия;Мелодрама;Фантастика"
"2019/06/10 9:31:49 AM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Сычевать","1","4","1","Нет","Матеша","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","А колбаса какая, колбаса...","Детектив;Комедия;Фильм ужасов"
"2019/06/10 9:32:56 AM GMT+5","Девочка","Не били","1","Не знаю","Гетеро","Сычевать","1","3","7","Нет","Литература","Положительно","Политик, лидер и боец","Хорошо","А колбаса какая, колбаса...","Боевик;Детектив;Драма;Комедия;Мелодрама;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 9:33:16 AM GMT+5","Девочка","Не били","3","Не знаю","Гетеро","Гулять","0","3","4","Нет","Иностранные языки","Мне всё равно","Политик, лидер и боец","Чуть лучше, чем ничего","Нет","Комедия;Фантастика"
"2019/06/10 9:34:37 AM GMT+5","Мальчик","Часто","0","Лучшая борда рунета","Альтернативная","Гулять","1","5","4","Нет","История","Мне всё равно","действующий президент РФ","Чуть лучше, чем ничего","Нет","Детектив;Комедия;Исторический фильм;Трагедия;Фильм ужасов;Фантастика"
"2019/06/10 9:34:57 AM GMT+5","Девочка","Не били","4","Не знаю","Би","Сычевать","0","5","3","Нет","Литература","Мне всё равно","Посадят","Чуть лучше, чем ничего","Нет","Исторический фильм"
"2019/06/10 9:42:05 AM GMT+5","Девочка","Не били","2","Лучшая борда рунета","Би","Гулять","1","6","3","Нет","Иностранные языки","Мне всё равно","Умный манипулятор","Нормально","Нет","Детектив;Драма;Исторический фильм;Трагедия"
